name,gender
Foolwati,F
Forum,F
Freya,F
Friya,F
Fulki,F
Fullan,F
Fullara,F
Fulmala,F
Gagana,F
Gaganadipika,F
Gaganasindhu,F
Gajagamini,F
Gajalakshmi,F
Gajra,F
Gamini,F
Ganda,F
Gandha,F
Gandhali,F
Gandhara,F
Gandhari,F
Gandharika,F
Gandhini,F
Ganesa,F
Ganga,F
Gangi,F
Gangika,F
Gangotri,F
Ganika,F
Ganitha,F
Garati,F
Gargi,F
Garima,F
Gathika,F
Gatita,F
Gauhar,F
Gaura,F
Gauri,F
Gaurika,F
Gautami,F
Gayana,F
Gayanthika,F
Gayathri,F
Gayatri,F
Gazala,F
Geena,F
Geeta,F
Geeti,F
Geetika,F
Geshna,F
Ghaena,F
Ghena,F
Ghewri,F
Gina,F
Ginni,F
Gira,F
Giribala,F
Girija,F
Girika,F
Girisha,F
Gita,F
Gitali,F
Gitanjali,F
Gitashri,F
Gitika,F
Giva,F
Goda,F
Godavari,F
Godavri,F
Gomati,F
Gomti,F
Gool,F
Gopa,F
Gopi,F
Gopika,F
Gopu,F
Gorma,F
Gorochana,F
Gourangi,F
Govindi,F
Gowri,F
Greeshma,F
Grhalakshmi,F
Grhitha,F
Grishma,F
Guddu,F
Gudia,F
Gudiya,F
Gul,F
Gulika,F
Gunasundari,F
Gunavati,F
Gunita,F
Gunitha,F
Gunjana,F
Gunjika,F
Gunjita,F
Gunnika,F
Gunwanti,F
Gurjari,F
Gyanada,F
Habita,F
Haimavati,F
Haimi,F
Hamsa,F
Hamsini,F
Hanima,F
Hanishi,F
Hanita,F
Hansa,F
Hansamala,F
Hansanandini,F
Hansaveni,F
Hansdhwani,F
Hansika,F
Hansini,F
Hanu,F
Haribala,F
Hariganga,F
Harijatha,F
Harimanti,F
Harinakshi,F
Harini,F
Haripriya,F
Harita,F
Harithi,F
Hariti,F
Harivallabhi,F
Harley,F
Harmya,F
Harshada,F
Harshashri,F
Harshi,F
Harshidha,F
Harshini,F
Harshita,F
Harshitha,F
Harsika,F
Haruni,F
Harusha,F
Hasanthi,F
Hashini,F
Hasika,F
Hasina,F
Hasini,F
